ID_FOR;FANTASIA;CNPJ;RESPONSAVEL;INS_MUNICIPAL;INS_ESTADUAL;ENDERECO;BAIRRO;UF;TELEFONE;FAX;EMAIL;CELULAR
183;CARDOSO & CIA LTDA;13007695000185;;;;AV. OTONIEL DOREA - 490;CENTRO;;;;;
127;CERQUEIRA PEÇAS;13083621000128;;;27051772-3;RUA LARANJEIRAS Nº 593;CENTRO;SE;7932143294;;;
222;SUPERMERCADO PRADO VASCONCELOS LTDA;13086046000893;;;;PRACA HERIBALDO ALVES DE GOIS N 60;CENTRO;SE;;;;
170;JOSE CARVALHO DOS SANTOS;13091756000135;;;270530665;PÇA GEREMIAS MONTEIRO;CENTRO ;SE;;;;
98;ELIZAUDO FONTES OLIVEIRA;13095450000157;;;;RUA DJALMA DUTRA, 346;CENTRO ;SE;7936481212;;;
169;IRMÃOS BARBOSA LTDA DROGARIA JB;13095625000398;;27.062.553-4;27.062.553-4;PRAÇA LEANDRO MACIEL S/N;CENTRO;SE;7936481235;;;
188;AZAN COMERCIAL LTDA;13105143000100;;;;PRAÇA ROSENDO RIBEIRO DE SOUZA - 26;CENTRO;SE;;;;
157;SAMAM VEÍCULOS LTDA;13136197000132;;;27.053.765.1;RUA BASÍLIO ROCHA Nº 89;GETÚLIO VARGAS;SE;7932127000;;;
61;FRAMADIAS FARMÁCIA SANTA RITA DE CÁSSIA;13137898000196;;;270538208;RUA EURICO MONTEIRO ALVES, Nº 15;CENTRO;SE;;;;
200;AGROVEL AGRICULTURA E VETERINARIA LTDA.;13161435000160;;;;AV. COELHO E CAMPOS, 455 ;CENTRO;SE;;;;
213;MAJOR CAMERCIAL DE DOCES LTDA;13354725000120;;;;PRAÇA SOA JOAO XXIII , 42;CENTRO ARACAJU;SE;;;;
111;RESENDE & PEIXOTO ARMARINHO LTDA;13358056000164;;;270620567;AV MAMEDE PAES MENDONÇA, 347;CENTRO;SE;7932142909;;;
86;VIDROLANDIA LTDA;13359526000104;;;27062210-1;AV. HERMES FONTES 417;SAO JOSE ;SE;7932143772;;;
156;PETRAMAQ PEÇAS PARA TRATORES E MÁQUINAS LTDA.;13376116000171;;27.063.669-2;;AV CHANCELER OSVALDO ARANHA Nº 641;B NOVO PARAÍSO;SE;7940098500;7940098510;;
250;CASA DOS MOTORES LTDA;13382635000142;;;27064116-5;AV CONTORNO,4196;CENTRO;;;;;
256;R CLAUS COMERCIO CONSTRUÇAO E REPRESENTAÇAO ;13384470000148;;;;R A CONJUNTO JOSÉ MARTINS DE SANTANA,10;CENTRO;SE;;;;
257;JJ IMPRESSÃO VIASUAL LTDA-ME;13446692000148;;;;RUA PEREIRA LOBO, 057;CENTRO;SE;;;;
261;MERCADINHO D&G LTDA -ME;13536154000144;;;271316349;RUA JOAO MACEDO,212;CENTRO;;;;;
296;CAROLINE FONSECA FERNANDES;14039255000172;;;271399333;PÇA HERMES FONTES;CENTRO;;;;;
275;COMALCOMERCIAL DE ALIMENTOS LTDA;14907178000125;;;271354690;RUA MATO GROSSO  435;;;;;;
32;DROGADIAS LTDA -ME;15.617.806/0001-09;;;27060969-5; BAIXA , 22;CENTRO;;;;;
121;E.G MATERIAL ELETRICO LTDA - MISTAO;15039118000109;EVERALDO;;270652310;AV AUGUSTOFRANCO 3150;PONTO NOVO;SE;7932340600;;;
174;GURUPI MADEIRAS;15065907000106;;;;AV.GOV JOÃO ALVES FILHO;;;;;;
249;JOSE CLEVES DE OLIVEIRA ME;15082217000165;;;270662499;AV MARANHAO,2816;SANTOS DUMONT;SE;;;;
118;SALES MATERIAL DE CONSTRUÇÃO LTDA;15082514000100;;;270663517;AV AUGUSTO FRANCO ;SIQUEIRA CAMPOS;SE;;;;
245;MEGGA AUTO PEÇAS LTDA;15153478000129;;;271356421;AV. CHANCELER OSVALDO ARANHA;JOSE C. ARAUJO;SE;7932411388;;;
160;CASA DO ALUMÍNIO VASCONCELOS;15581085000116;;;27.057.502-2;AV. WALTER FRANCO Nº 108;CENTRO;SE;7936311836;;;
143;AUTO PECAS MACEDO;15583552000147;;;270575235;RUA MARIANO SALMERIN 48;SIQUEIRA CAMPOS;SE;7932161850;;;
114;ITAMOTOS LTDA;15604390000186;;;270599711;AV CONTORNO 334/356;CENTRO;SE;;;;
20;LOJAS INSINUANTE LTDA;16.182.834/0210-11;;;27.110.655-7; ITABAIANINHA, 189;CENTRO;;;;;
158;EKIPECAR PEÇAS E ACESSÓRIOS LTDA;16216731000109;;;27.069.427-7;AV NICOLAU ALMEIDA Nº 75;CENTRO;SE;7936311858;;;
281;SKORPIOS AUTOPLACAS LTDA ME;16223471000107;;;;AV DEJANIRO JONAS  900;CENTRO;SE;;;;
231;COFECCOES LIBORIO E FILHOS LTDA;16467623000109;;;;TRAV. JOANA ROSA, 30;CENTRO LAGARTO;SE;;;;
299;DISTRIBUIDORA FERREIRA;17140964000138;;;271389630;RUA TENENTE CLETO CAMPELO,397;18 DO FORTE;;;;;
276;ARTHUR ORLANDO CARIBE NETO;18722056000115;;;271418451;ALAMEDA  ABAIS, 283;BEIRA MAR;SE;;;;
271;XISTO ;19947763587;XISTO;;;POVOADO BELA VISTA;ZONA RURAL;;;;;
282;GIVANILDO MACEDO DA ROCHA AUTOPEÇAS-ME;20208082000171;;;;ROD POVOADO SAMBAIBA, 22 ITAPICURU;RODOVIA;BA;;;;
172;ANTIRES MENEZES DOS SANTOS;20730099010742;;;;RUA ARIBALDO ALVES DE GOES, 04;CENTRO;SE;;;;
298;CG COMERCIO LTDA;23148989000180;;;271499346;RUA LARANJEIRAS,555;CENTRO;;7932140647;;;
272;ARISTON  ALVES SANTOS;23179813504;;;;RESIDENCIAL CHICO DE GONZAGA;ZONA  URBANA;;;;;
46;AUTO PEÇAS BOMFIM;32.836.157/0001-48;;;270815651; DR. JESSÉ FONTES , 388;CENTRO;;;;;
24;CLAUDIONOR DE VASCONCELOS E CIA LTDA;32.872.251/0001-52;;;27.084.023-0; VENANCIO F. DA FONSECA, 7;CENTRO;;;;;
37;BETH MED PROD. MED. HOSPITALARES LTDA;32.872.368/0001-36;;;270844155; RIO GRANDE DO SUL, 823;SIQUEIRA CAMPOS;;;;;
3;REIS COMÉRCIO REPRESENTAÇÕES LTDA  ;32.878.407/0001-02;;;27.085.629-3; MARANHÃO , 1480;SANTOS DUMONT;;;;;
9;AUTO PEÇAS HOLANDA LTDA;32.892.416/0001-58;;;27.085.669-2; SIRIRI, 2;CENTRO;;;;;
7;ODONTO-MED COMERCIO E REPRESENTAÇOES LTDA;32.892.929/0001-69;;;27.086.254-4; ARMINDO GUARANÁ, 579;SANTO ANTÔNIO;;;;;
89;ARQUIMEDES OLIVEIRA LIMA;32707481000166;;;270722157;RUA GENERAL SIQUEIRA;CENTRO;SE;;;;
59;CRISFARMA COM. REP. LTDA;32734295000116;;;270759239;RUA TEIXEIRA DE FREITAS;CENTRO;SE;7932124800;;;
124;DUPLICHAVES COMERCIAL LTDA-ME;32739278000171;;;27.075.163-7;RUA LARANJEIRAS  Nº 399;CENTRO;SE;7932145096;;;
87;JUBS& CIA LTDA;32751273000164;RAILSON;;270753915;AV. SIMPLICIANO FERNANDES FONSECA;CENTRO;SE;7936451218;;;
